year_sold,mo_sold,year_built,home_age,village,street,address,sqft_lot,sqft_living,sqft_mbr,sqft_garage,home_type,floorplan,floor,bedrooms,bathrooms,sale_price
2019,2,2005,17,Village 3,Stags Leap Lane,264 Stags Leap Lane,5854,1549,156,420,Classic,Alpine,1,2,2,420
2020,6,2005,17,Village 3,Stags Leap Lane,355 Stags Leap Lane,6137,1531,156,420,Classic,Alpine,1,2,2,435
2020,7,2005,17,Village 3,Sawmill Lane,441 Sawmill Lane,5662,1549,156,420,Classic,Alpine,1,2,2,441
2019,7,2005,17,Village 3,Stags Leap Lane,444 Stags Leap Lane,5488,1531,156,420,Classic,Alpine,1,2,2,510
2021,10,2005,17,Village 3,Stags Leap Lane,343 Stags Leap Lane,4799,1190,168,400,Classic,Calaveras,1,2,2,499
2020,12,2008,14,Village 3,Stags Leap Lane,432 Stags Leap Lane,4356,1195,168,400,Classic,Calaveras,1,2,2,412
2019,6,2005,17,Village 3,Truchard Lane,1017 Truchard Lane,5610,1674,178,438,Classic,Trinity,1,2,2,500
2021,1,2003,19,Village 3,Stags Leap Lane,213 Stags Leap Lane,17371,1775,262,438,Classic,Tehama,1,3,2,520
2020,2,2003,19,Village 4,Saddlehorn Loop,260 Saddlehorn Loop,4791,1020,190,410,Classic,Mariposa,1,1,1,365
2020,9,2003,19,Village 4,Saddlehorn Loop,248 Saddlehorn Loop,6398,1148,180,436,Classic,Millpond,1,2,2,405
2019,7,2003,19,Village 4,Stockman Lane,440 Stockman Lane,5893,1138,180,436,Classic,Millpond,1,2,2,372
2021,6,2003,19,Village 4,Stockman Lane,580 Stockman Lane,5587,1144,180,436,Classic,Millpond,1,2,2,467
2021,8,2004,18,Village 4,Longhorn Lane,1014 Longhorn Lane,6007,1549,156,420,Classic,Alpine,1,2,2,600
2021,12,2003,19,Village 4,Stockman Lane,470 Stockman Lane,5619,1298,203,438,Classic,Bridgegate,1,2,2,505
2021,2,2003,19,Village 4,Stockman Lane,490 Stockman Lane,8673,1830,192,420,Classic,Echo Ridge,1,2,2,545
2021,12,2003,19,Village 4,Stockman Lane,665 Stockman Lane,4330,1020,190,410,Classic,Mariposa,1,2,2,477
2021,12,2003,19,Village 4,Stockman Lane,675 Stockman Lane,4326,1130,190,410,Classic,Mariposa,1,2,2,465
2021,8,2003,19,Village 4,Stockman Lane,610 Stockman Lane,7039,1515,161,436,Classic,Pine Hill,1,2,2,510
2021,12,2003,19,Village 4,Stockman Lane,810 Stockman Lane,7863,1515,161,436,Classic,Pine Hill,1,2,2,575
2019,4,2003,19,Village 4,Stockman Lane,525 Stockman Lane,7048,1551,184,430,Classic,Quail Cove,1,2,2,469
2020,4,2004,18,Village 4,Longhorn Lane,1197 Longhorn Lane,6120,1673,178,438,Classic,Trinity,1,2,2,470
2020,10,2003,19,Village 5,Rustic Ranch Lane,716 Rustic Ranch Lane,5662,1530,156,420,Classic,Alpine,1,2,2,450
2020,6,2003,19,Village 5,Rustic Ranch Lane,812 Rustic Ranch Lane,5680,1549,156,420,Classic,Alpine,1,2,2,450
2019,1,2002,20,Village 6,Lariat Loop,286 Lariat Loop,5932,1120,180,436,Classic,Millpond,1,2,2,375
2019,1,2001,21,Village 7,Bloomfield Ct,207 Bloomfield Ct,7156,900,154,210,Classic,Woodleaf,1,1,2,325
2019,1,2001,21,Village 7,Bloomfield Ct,240 Bloomfield Ct,5915,1322,203,438,Classic,Bridgegate,1,2,2,429
2020,9,2001,21,Village 7,Northfield Lane,512 Northfield Lane,5575,1298,203,438,Classic,Bridgegate,1,2,2,418
2019,2,2001,21,Village 7,Poppyfield Court,403 Poppyfield Court,8258,1704,192,420,Classic,Echo Ridge,1,2,2,575
2019,8,2001,21,Village 7,Poppyfield Court,443 Poppyfield Court,7527,1808,192,420,Classic,Echo Ridge,1,2,2,430
2019,5,2001,21,Village 7,Northfield Lane,724 Northfield Lane,7161,1822,192,420,Classic,Echo Ridge,1,2,2,565
2021,5,2001,21,Village 7,Poppyfield Court,423 Poppyfield Court,6843,1844,242,545,Classic,Orchard Crest,1,2,2,562
2021,8,2001,21,Village 7,Shadow Glen Lane,1150 Shadow Glen Lane,6699,1515,161,436,Classic,Pine Hill,1,2,2,530
2020,6,2001,21,Village 7,Shadow Glen Lane,1170 Shadow Glen Lane,6307,1515,163,436,Classic,Pine Hill,1,2,2,435
2019,2,2001,21,Village 7,Northfield Court,135 Northfield Court,8725,1515,163,436,Classic,Pine Hill,1,2,2,486
2021,2,2001,21,Village 7,Northfield Court,135 Northfield Court,8724,1515,161,436,Classic,Pine Hill,1,2,2,565
2020,9,2001,21,Village 7,Northfield Lane,536 Northfield Lane,6446,1515,163,436,Classic,Pine Hill,1,2,2,475
2021,7,2001,21,Village 7,Northfield Court,125 Northfield Court,7375,1595,184,430,Classic,Quail Cove,1,2,2,575
2020,11,2001,21,Village 7,Shadow Glen Lane,1160 Shadow Glen Lane,6359,1155,203,438,Classic,Sequoia,1,2,2,414
2021,7,2001,21,Village 8,Bayfield Court,475 Bayfield Court,6172,1120,180,436,Classic,Millpond,1,2,2,515
2019,4,2001,21,Village 8,Lakefield Court,122 Lakefield Court,8102,1844,242,545,Classic,Orchard Crest,1,2,2,570
2019,12,2001,21,Village 8,Lakefield Court,122 Lakefield Court,8102,1854,242,545,Classic,Orchard Crest,1,2,2,592
2019,7,2001,21,Village 8,Waterfield Court,855 Waterfield Court,8916,1873,242,545,Classic,Orchard Crest,1,2,2,409
2020,11,2001,21,Village 8,Lilypond Lane,380 Lilypond Lane,6229,1539,163,436,Classic,Pine Hill,1,2,2,435
2020,6,2001,21,Village 8,Waterfield Court,755 Waterfield Court,8133,1515,163,436,Classic,Pine Hill,1,2,2,440
2021,8,2001,21,Village 8,Waterfield Court,755 Waterfield Court,8133,1515,161,436,Classic,Pine Hill,1,2,2,548
2019,2,2001,21,Village 8,Lilypond Lane,385 Lilypond Lane,6433,1595,184,430,Classic,Quail Cove,1,2,2,449
2020,11,2001,21,Village 8,Lilypond Lane,385 Lilypond Lane,6433,1595,184,430,Classic,Quail Cove,1,2,2,479
2019,8,2001,21,Village 9,Gold Nugget Circle,967 Gold Nugget Circle,8032,1705,192,420,Classic,Echo Ridge,1,2,2,535
2019,5,2001,21,Village 9,Gold Strike Court,654 Gold Strike Court,8415,1870,184,430,Classic,Quail Cove,1,2,2,525
2019,4,2004,18,Village 10,Segolilly Lane,1168 Segolily Lane,6682,1531,156,420,Classic,Alpine,1,2,2,482
2021,1,2004,18,Village 10,Cherry Blossom Lane,1206 Cherry Blossom Lane,5523,1549,156,420,Classic,Alpine,1,2,2,540
2021,3,2004,18,Village 10,Hawthorne Lane,1279 Hawthorne Lane,5868,1549,156,420,Classic,Alpine,1,2,2,525
2020,11,2004,18,Village 10,Tiger Lily Lane,1279 Tiger Lily Lane,1518,1531,156,420,Classic,Alpine,1,2,2,490
2019,4,2004,18,Village 10,Olema Place,418 Olema Place,7496,1531,156,420,Classic,Alpine,1,2,2,499
2020,11,2004,18,Village 10,Violet Lane,856 Violet Lane,5691,1531,156,420,Classic,Alpine,1,2,2,456
2021,10,2004,18,Village 10,Cherry Blossom Lane,1227 Cherry Blossom Lane,4308,1190,168,400,Classic,Calaveras,1,2,2,504
2021,12,2004,18,Village 10,Cherry Blossom Lane,1238 Cherry Blossom Lane,5423,1673,178,438,Classic,Trinity,1,2,2,610
2021,11,2004,18,Village 10,Mariemont Court,202 Mariemont Court,7709,1674,178,438,Classic,Trinity,1,2,2,637
2021,5,1999,23,Village 10,Violet Lane,731 Violet Lane,7759,1674,178,438,Classic,Trinity,1,2,2,638
2020,4,2004,18,Village 10,Tiger Lily Lane,1164 Tiger Lily Ln,5257,1795,262,438,Classic,Tehama,1,3,2,520
2020,5,2004,18,Village 10,Segolilly Lane,1173 Segolily Lane,5614,1793,262,438,Classic,Tehama,1,3,2,463
2019,2,2004,18,Village 10,Hawthrone Lane,1215 Hawthrone Lane,5248,1795,262,438,Classic,Tehama,1,3,2,500
2020,3,2004,18,Village 10,Tiger Lily Lane,1267 Tiger Lily Ln,6538,1795,262,438,Classic,Tehama,1,3,2,435
2021,11,2004,18,Village 10,Cherry Blossom Lane,1286 Cherry Blossom Lane,6255,1795,262,438,Classic,Tehama,1,3,2,600
2021,7,2004,18,Village 10,Cherry Blosssom Lane,1294 Cherry Blosssom Lane,6167,1795,262,438,Classic,Tehama,1,3,2,606
2019,7,2004,18,Village 10,Marigold Lane,391 Marigold Lane,6534,1795,262,438,Classic,Tehama,1,3,2,477
2019,6,2002,20,Village 11,Clairmont Lane,1505 Clairmont Lane,7910,1515,163,436,Classic,Pine Hill,1,2,2,450
2019,11,2002,20,Village 11,Yerington Place,607 Yerington Place,8049,1539,163,436,Classic,Pine Hill,1,2,2,506
2019,5,1999,23,Village 13,Meadowhill Court,882 Meadowhill Court,6664,900,154,210,Classic,Woodleaf,1,1,2,366
2019,5,1999,23,Village 13,Meadowhill Court,874 Meadowhill Court,6812,1138,180,436,Classic,Millpond,1,2,2,419
2021,1,1999,23,Village 13,Meadowhill Court,883 Meadowhill Court,6824,1138,183,436,Classic,Millpond,1,2,2,438
2020,11,1999,23,Village 13,Meadowhill Court,889 Meadowhill Court,10018,1138,180,436,Classic,Millpond,1,2,2,450
2021,6,1999,23,Village 13,Strolling Hills Lane,1378 Strolling Hills Lane,6082,1298,192,420,Classic,Bridgegate,1,2,2,575
2021,8,1999,23,Village 13,Greenridge Court,876 Greenridge Court,5898,1298,192,420,Classic,Bridgegate,1,2,2,565
2019,2,2002,20,Village 13,Strolling Hills Lane,1350 Strolling Hills Lane,7021,1774,163,436,Classic,Pine Hill,1,2,2,595
2020,8,2000,22,Villge 14,Yosemite Lane,950 Yosemite Lane,7413,1681,192,420,Classic,Echo Ridge,1,2,2,562
2021,4,2000,22,Villge 14,El Capitan Court,820 El Capitan Court,73290,2090,242,545,Classic,Orchard Crest,1,2,2,659
2019,4,2000,22,Villge 14,Tioga Lane,1040 Tioga Lane,7327,1515,163,436,Classic,Pine Hill,1,2,2,460
2019,4,2000,22,Villge 14,Tioga Lane,750 Tioga Lane,8154,1539,163,436,Classic,Pine Hill,1,2,2,405
2021,10,2000,22,Villge 14,Tioga Lane,780 Tioga Lane,5676,1515,161,436,Classic,Pine Hill,1,2,2,552
2019,4,2000,22,Village 15,Blossom Lane,777 Blossom Lane,7936,1322,203,438,Classic,Bridgegate,1,2,2,450
2021,8,2000,22,Village 15,Blossom Lane,777 Blossom Lane,7937,1322,192,420,Classic,Bridgegate,1,2,2,530
2020,10,1999,23,Village 15,Dogwood Loop,945 Dogwood Loop,6263,1322,203,438,Classic,Bridgegate,1,2,2,425
2020,9,1999,23,Village 15,Dogwood Loop,995 Dogwood Loop,6669,1322,203,438,Classic,Bridgegate,1,2,2,435
2021,6,1999,23,Village 15,Dogwood Loop,865 Dogwood Loop,7353,1515,163,436,Classic,Pine Hill,1,2,2,540
2019,2,2000,22,Village 15,Blossom Lane,648 Blossom Lane,6930,1595,184,430,Classic,Quail Cove,1,2,2,460
2019,4,2000,22,Village 16,Greenwood Court,1165 Greenwood Court,9182,1457,203,438,Classic,Bridgegate,1,2,2,464
2019,6,1999,23,Village 16,Silver Fork Court,1240 Silver Fork Court,6520,1466,203,438,Classic,Bridgegate,1,2,2,460
2019,7,1999,23,Village 16,Hackberry Lane,1613 Hackberry Lane,6250,1322,203,438,Classic,Bridgegate,1,2,2,400
2020,9,1999,23,Village 16,Hackberry Lane,1633 Hackberry Lane,5279,1322,203,438,Classic,Bridgegate,1,2,2,405
2020,8,1999,23,Village 16,Magnolia Lane,1025 Magnolia Lane,7048,1844,242,545,Classic,Orchard Crest,1,2,2,530
2021,1,2000,22,Village 16,Hackberry Lane,1647 Hackberry Lane,5492,1515,163,436,Classic,Pine Hill,1,2,2,509
2020,9,1999,23,Village 16,Stone Pine Lane,1010 Stone Pine Lane,8437,1570,184,430,Classic,Quail Cove,1,2,2,480
2020,8,1999,23,Village 16,Stone Pine Lane,1189 Stone Pine Lane,9561,1593,184,430,Classic,Quail Cove,1,2,2,539
2020,12,2003,19,Village 17,Lake Crest Court,120 Lake Crest Court,4604,1190,168,400,Classic,Calaveras,1,2,2,427
2020,7,2003,19,Village 17,Lake Crest Court,160 Lake Crest Court,4403,1190,168,400,Classic,Calaveras,1,2,2,415
2020,11,2003,19,Village 17,Lake Crest Lane,180 Lake Crest Lane,11800,1190,168,400,Classic,Calaveras,1,2,2,430
2020,6,2003,19,Village 17,Lake Crest Lane,925 Lake Crest Lane,5662,1190,168,400,Classic,Calaveras,1,2,2,400
2019,9,1999,23,Village 18,Sun Valley Loop,1210 Sun Valley Loop,7339,1823,192,420,Classic,Echo Ridge,1,2,2,610
2021,12,2003,19,Village 18,Fairview Ct,1107 Fairview Ct,5798,1361,168,400,Classic,Madera,1,2,2,520
2020,7,2002,20,Village 19,Winding Way,2272 Winding Way,4743,1020,190,410,Classic,Mariposa,1,1,1,405
2019,6,2002,20,Village 19,Winding Way,2357 Winding Way,4791,1020,190,410,Classic,Mariposa,1,1,1,380
2020,7,2001,21,Village 19,Slawson Lane,894 Slawson Lane,6891,900,154,210,Classic,Woodleaf,1,1,2,345
2021,6,2000,22,Village 19,Andover Lane,1672 Andover Lane,5924,1161,180,436,Classic,Millpond,1,2,2,505
2020,12,2001,21,Village 19,Monument Drive,1915 Monument Drive,6237,1186,180,436,Classic,Millpond,1,2,2,385
2020,6,2001,21,Village 19,Anton Lane,850 Anton Lane,9086,1184,180,436,Classic,Millpond,1,2,2,379
2021,2,2001,21,Village 19,Andover Lane,1655 Andover Lane,7815,1322,192,420,Classic,Bridgegate,1,2,2,448
2021,6,2001,21,Village 19,Beckwith Lane,1658 Beckwith Lane,6268,1298,192,420,Classic,Bridgegate,1,2,2,487
2021,12,2000,22,Village 19,Monument Drive,1669 Monument Drive,5911,1322,203,438,Classic,Bridgegate,1,2,2,560
2019,2,2000,22,Village 19,Monument Drive,1861 Monument Drive,7039,1298,203,438,Classic,Bridgegate,1,2,2,450
2020,8,2001,21,Village 19,Winding Way,1767 Winding Way,9517,1681,192,420,Classic,Echo Ridge,1,2,2,490
2020,6,2001,21,Village 19,Monument Drive,1813 Monument Drive,8842,1728,192,420,Classic,Echo Ridge,1,2,2,500
2020,10,2001,21,Village 19,Winding Way,2045 Winding Way,7670,1704,192,420,Classic,Echo Ridge,1,2,2,519
2021,5,2001,21,Village 19,Winding Way,2129 Winding Way,9849,1823,192,420,Classic,Echo Ridge,1,2,2,576
2021,7,2002,20,Village 19,Winding Way,2333 Winding Way,7736,1705,192,420,Classic,Echo Ridge,1,2,2,545
2021,11,2000,22,Village 19,Gardner Court,925 Gardner Court,12197,1822,192,420,Classic,Echo Ridge,1,2,2,751
2019,11,2004,18,Village 19,Gadwell Court,520 Gadwell Court,6229,1361,168,400,Classic,Madera,1,2,2,435
2020,11,2004,18,Village 19,Gadwell Court,521 Gadwell Court,6403,1343,168,400,Classic,Madera,1,2,2,435
2021,6,2001,21,Village 19,Andover Lane,1831 Andover Lane,10890,2065,242,545,Classic,Orchard Crest,1,2,2,734
2019,4,2002,20,Village 19,Monument Drive,2273 Monument Drive,7252,1844,242,545,Classic,Orchard Crest,1,2,2,505
2019,2,2001,21,Village 19,Slawson Lane,889 Slawson Lane,7418,1873,242,545,Classic,Orchard Crest,1,2,2,499
2020,9,2001,21,Village 19,Anton Court,910 Anton Court,13900,1873,242,545,Classic,Orchard Crest,1,2,2,510
2020,8,2001,21,Village 19,Monument Drive,1581 Monument Drive,6407,1515,163,436,Classic,Pine Hill,1,2,2,452
2021,11,2001,21,Village 19,Beckwith Lane,1850 Beckwith Lane,6007,1515,161,436,Classic,Pine Hill,1,2,2,569
2020,3,2001,21,Village 19,Winding Way,1948 Winding Way,5479,1539,163,436,Classic,Pine Hill,1,2,2,466
2020,10,2001,21,Village 19,Monument Drive,1951 Monument Drive,6712,1515,163,436,Classic,Pine Hill,1,2,2,462
2021,12,2002,20,Village 19,Winding Way,2332 Winding Way,5650,1481,161,436,Classic,Pine Hill,1,2,2,535
2020,3,2002,20,Village 19,Winding Way,2381 Winding Way,6616,1515,163,436,Classic,Pine Hill,1,2,2,472
2019,8,2002,20,Village 19,Winding Way,2417 Winding Way,7623,1515,163,436,Classic,Pine Hill,1,2,2,460
2019,8,2002,20,Village 19,Winding Way,2489 Winding Way,7305,1515,163,436,Classic,Pine Hill,1,2,2,470
2019,7,2001,21,Village 19,Linnet Court,955 Linnet Court,11300,1539,163,436,Classic,Pine Hill,1,2,2,480
2021,5,2002,20,Village 19,Winding Way,2392 Winding Way,6215,1571,184,430,Classic,Quail Cove,1,2,2,599
2019,4,2001,21,Village 19,Winding Way,1937 Winding Way,5802,1130,203,438,Classic,Sequoia,1,2,2,375
2020,7,2002,20,Village 19,Winding Way,2237 Winding Way,4922,1155,203,438,Classic,Sequoia,1,2,2,390
2020,8,2002,20,Village 19,Winding Way,2369 Winding Way,6046,1130,203,438,Classic,Sequoia,1,2,2,375
2020,6,2002,20,Village 19,Winding Way,2429 Winding Way,6050,1130,203,438,Classic,Sequoia,1,2,2,369
2020,11,2004,18,Village 19,Gadwell Court,510 Gadwell Court,9496,1655,178,438,Classic,Trinity,1,2,2,484
2020,10,2001,21,Village 20,Sun Flare Court,1111 Sun Flare Ct,6477,900,154,210,Classic,Woodleaf,1,1,2,385
2020,3,2001,21,Village 20,Alpenglow Lane,1896 Alpenglow Ln,7122,1322,203,438,Classic,Bridgegate,1,2,2,444
2021,3,2001,21,Village 20,Sun Flare Court,1130 Sun Flare Court,7462,1681,192,420,Classic,Echo Ridge,1,2,2,525
2021,6,2001,21,Village 20,Newhaven Court,1132 Newhaven Court,7373,1705,192,420,Classic,Echo Ridge,1,2,2,555
2021,10,2001,21,Village 20,Starview Lane,1860 Starview Lane,10424,1539,161,436,Classic,Pine Hill,1,2,2,600
2020,11,2001,21,Village 20,Alpenglow Lane,1901 Alpenglow Lane,5719,1539,163,436,Classic,Pine Hill,1,2,2,495
2020,1,2001,21,Village 20,Starview Lane,1910 Starview Lane,6198,1549,163,436,Classic,Pine Hill,1,2,2,469
2020,12,2002,20,Village 21,Hidden Hills Lane,2440 Hidden Hills Lane,7326,1823,192,420,Classic,Echo Ridge,1,2,2,600
2021,1,2002,20,Village 21,Granite Lane,2484 Granite Lane,7479,1873,242,545,Classic,Orchard Crest,1,2,2,545
2019,2,2002,20,Village 21,Granite Court,930 Granite Court,9700,1873,242,545,Classic,Orchard Crest,1,2,2,566
2020,4,2002,20,Village 21,Hidden Hills Lane,2380 Hidden Hills Ln,5915,1515,163,436,Classic,Pine Hill,1,2,2,575
2019,9,2001,21,Village 21,Granite Falls Lane,877 Granite Falls Lane,6033,1491,163,436,Classic,Pine Hill,1,2,2,496
2019,12,2002,20,Village 21,Granite Lane,2456 Granite Lane,7466,1595,184,430,Classic,Quail Cove,1,2,2,530
2020,7,2002,20,Village 21,Granite Lane,2498 Granite Lane,7840,1595,184,430,Classic,Quail Cove,1,2,2,540
2021,11,2002,20,Village 21,Boulder Lane,875 Boulder Lane,10700,1571,184,430,Classic,Quail Cove,1,2,2,651
2020,7,2002,20,Villagre 22,Hillhaven Lane,1252 Hillhaven Lane,5166,1020,190,410,Classic,Mariposa,1,1,1,370
2020,7,2002,20,Villagre 22,Hillhaven Lane,1256 Hillhaven Lane,5357,1020,190,410,Classic,Mariposa,1,1,1,375
2019,12,2002,20,Villagre 22,Woodacre Lane,2555 Woodacre Lane,5715,1322,203,438,Classic,Bridgegate,1,2,2,450
2019,2,2002,20,Villagre 22,Wooodacre Lane,2639 Wooodacre Lane,5919,1322,203,438,Classic,Bridgegate,1,2,2,434
2020,8,2002,20,Villagre 22,Woodacre Lane,2747 Woodacre Lane,6050,1322,203,438,Classic,Bridgegate,1,2,2,415
2021,7,2002,20,Villagre 22,Monument Drive,2152 Monument Drive,11761,1704,192,420,Classic,Echo Ridge,1,2,2,590
2020,4,2002,20,Villagre 22,Hillhaven Lane,1295 Hillhaven Ln,9143,1491,163,436,Classic,Pine Hill,1,2,2,500
2021,11,2002,20,Villagre 22,Monument Drive,2153 Monument Drive,7344,1539,161,436,Classic,Pine Hill,1,2,2,582
2021,5,2002,20,Villagre 22,Woodacre Lane,2712 Woodacre Lane,4447,1130,203,438,Classic,Sequoia,1,2,2,455
2020,12,2002,20,Village 23,Fountain Hill Loop,2480 Fountain Hill Loop,5854,1120,180,436,Classic,Millpond,1,2,2,365
2021,3,2002,20,Village 23,Fountain Hill Place,2335 Fountain Hill Place,8433,1809,192,420,Classic,Echo Ridge,1,2,2,675
2020,4,2002,20,Village 23,Fountain Hill Place,2310 Fountain Hill Pl,8276,2135,163,436,Classic,Pine Hill,1,2,2,525
2020,6,2002,20,Village 23,Fountain Hill Loop,2450 Fountain Hill Loop,7919,1595,184,430,Classic,Quail Cove,1,2,2,439
2021,5,2003,19,Village 24,Mockingbird Lane,1446 Mockingbird Lane,6439,1549,156,420,Classic,Alpine,1,2,2,585
2019,1,2004,18,Village 24,Grand Pheasant Ln,1555 Grand Pheasant Ln,8746,1531,156,420,Classic,Alpine,1,2,2,489
2021,8,2004,18,Village 24,Grand Pheasant Lane,1598 Grand Pheasant Lane,6939,1531,156,420,Classic,Alpine,1,2,2,587
2021,4,2003,19,Village 24,Quail Covey Court,200 Quail Covey Court,6929,1531,156,420,Classic,Alpine,1,2,2,523
2020,6,2003,19,Village 24,Quail Covey Court,201 Quail Covey Court,8646,1531,156,420,Classic,Alpine,1,2,2,450
2020,10,2003,19,Village 24,Kingfisher Lane,2368 Kingfisher Lane,5985,1549,156,420,Classic,Alpine,1,2,2,515
2019,7,2004,18,Village 24,Blue Heron Loop,2648 Blue Heron Loop,7579,1549,156,420,Classic,Alpine,1,2,2,523
2021,11,2003,19,Village 24,Phoebe Court,308 Phoebe Court,6847,1531,156,420,Classic,Alpine,1,2,2,570
2021,3,2003,19,Village 24,Phoebe Court,310 Phoebe Court,7649,1531,156,420,Classic,Alpine,1,2,2,525
2021,1,2003,19,Village 24,Plover Court,400 Plover Court,7520,1549,156,420,Classic,Alpine,1,2,2,480
2019,1,2003,19,Village 24,Plover Court,406 Plover Ct,6346,1531,156,420,Classic,Alpine,1,2,2,458
2021,4,2003,19,Village 24,Oriole Court,502 Oriole Court,7256,1531,156,420,Classic,Alpine,1,2,2,585
2021,7,2003,19,Village 24,Merlin Court,602 Merlin Court,6233,1549,156,420,Classic,Alpine,1,2,2,600
2019,9,2003,19,Village 24,Quail Covey Court,206 Quail Covey Court,4791,1190,168,400,Classic,Calaveras,1,2,2,419
2020,9,2003,19,Village 24,Quail Covey Court,208 Quail Covey Court,4839,1190,168,400,Classic,Calaveras,1,2,2,400
2021,8,2004,18,Village 24,Kingfisher Lane,2798 Kingfisher Lane,4809,1195,168,400,Classic,Calaveras,1,2,2,501
2020,11,2004,18,Village 24,Blue Heron Loop,2876 Blue Heron Loop,7082,1195,168,400,Classic,Calaveras,1,2,2,420
2021,11,2003,19,Village 24,Plover Court,402 Plover Court,5191,1190,168,400,Classic,Calaveras,1,2,2,500
2020,3,2003,19,Village 24,Plover Court,402 Plover Ct,5192,1190,168,400,Classic,Calaveras,1,2,2,405
2020,8,2004,18,Village 24,Blue Heron Loop,2732 Blue Heron Loop,6218,1361,168,400,Classic,Madera,1,2,2,445
2021,12,2003,19,Village 24,Plover Court,404 Plover Court,6521,1361,156,420,Classic,Madera,1,2,2,560
2019,7,2004,18,Village 24,Blue Heron Loop,2415 Blue Heron Loop,6115,1673,178,438,Classic,Trinity,1,2,2,499
2019,11,2004,18,Village 24,Blue Heron Loop,2715 Blue Heron Loop,7501,1673,178,438,Classic,Trinity,1,2,2,495
2021,6,2004,18,Village 24,Grand Pheasant Lane,1651 Grand Pheasant Lane,5323,1367,168,400,Classic,Madera,1,3,2,526
2020,3,2004,18,Village 24,Grand Pheasant Ln,1627 Grand Pheasant Ln,5610,1795,262,438,Classic,Tehama,1,3,2,525
2020,8,2004,18,Village 24,Grand Pheasant Lane,1766 Grand Pheasant Lane,5484,1775,262,438,Classic,Tehama,1,3,2,470
2020,9,2004,18,Village 24,Wabler Lane,2646 Wabler Lane,5279,1775,262,438,Classic,Tehama,1,3,2,498
2019,8,2005,17,Village 24,Blue Heron Loop,2859 Blue Heron Loop,5462,1795,262,438,Classic,Tehama,1,3,2,487
2021,12,2003,19,Village 24,Blue Heron Loop,2907 Blue Heron Loop,5824,1777,262,438,Classic,Tehama,1,3,2,538
2020,12,2005,17,Village 25,Avian Hill Place,1589 Avian Hill Place,6285,1549,156,420,Classic,Alpine,1,2,2,500
2020,7,2005,17,Village 25,Walden View Lane,2334 Walden View Lane,6107,1775,262,438,Classic,Tehama,1,3,2,522
2021,5,2003,19,Village 26,Echo Lane,1921 Echo Lane,8411,1531,156,420,Classic,Alpine,1,2,2,590
2020,9,2003,19,Village 26,Tallac Lane,1433 Tallac Lane,7078,1298,203,438,Classic,Bridgegate,1,2,2,450
2020,11,2003,19,Village 26,Emerald Lane,1440 Emerald Lane,5662,1322,203,438,Classic,Bridgegate,1,2,2,450
